id,message,intent,issue_type,priority,entities,routing,suggested_action,response,kb_reference,category,is_ambiguous,requires_retrieval,paraphrase_of,notes
1,"I was charged twice for the same transaction and I need this resolved immediately. If not, I will escalate.",Billing Issue|Complaint,Duplicate Charge,High,duplicate transaction,Billing Department,Escalate and verify transaction logs,We'll escalate and verify transaction logs. You'll receive an update shortly.,,financial_dispute,False,False,,
2,There's a $450 charge on my statement from a merchant I've never heard of.,Billing Issue|Fraud Suspicion,Unrecognized Charge,High,$450 charge|unknown merchant,Fraud Team,Open fraud investigation and verify with customer,"Based on our Fraud & Unauthorized Transaction Policy, charges over $100 that remain unrecognized after a merchant descriptor lookup are escalated to the Fraud Team within 1 business hour. We're opening a case now.",kb-004,financial_dispute,False,True,,Needs fraud policy for unrecognized charge threshold
3,Why was I charged a $35 overdraft fee when my balance never went negative?,Billing Issue|Dispute,Incorrect Fee,Medium,$35 overdraft fee,Billing Department,Review account ledger and refund if error confirmed,"Per our Billing & Fees Policy, a $35 overdraft fee only applies when your balance actually goes negative after a transaction posts. We'll review your ledger and reverse the fee if it was charged in error.",kb-001,financial_dispute,False,True,,Needs overdraft fee policy
4,My refund for the returned purchase still hasn't posted after 2 weeks.,Billing Issue|Complaint,Delayed Refund,Medium,refund|2 weeks delay,Billing Department,Check refund processing status with merchant acquirer,We'll check refund processing status with merchant acquirer. You'll receive an update shortly.,,financial_dispute,False,False,,
5,"I need to dispute a transaction from last month, the amount doesn't match my receipt.",Billing Issue|Dispute,Amount Mismatch,Medium,transaction amount mismatch,Billing Department,Request receipt and open dispute case,We'll request receipt and open dispute case. You'll receive an update shortly.,,financial_dispute,False,False,,
6,Someone used my card at a gas station in another state while I was at home. That's a $60 charge I never made.,Fraud Suspicion|Billing Issue,Unauthorized Transaction,Critical,$60 charge|out-of-state gas station,Fraud Team,Freeze card and open fraud case immediately,We'll freeze card and open fraud case immediately. You'll receive an update shortly.,,financial_dispute,False,False,,
7,I was double billed for my monthly subscription this cycle.,Billing Issue|Complaint,Duplicate Billing,Medium,duplicate subscription charge,Billing Department,Verify billing cycle and issue refund if duplicate confirmed,We'll verify billing cycle and issue refund if duplicate confirmed. You'll receive an update shortly.,,financial_dispute,False,False,,
8,The exchange rate applied to my international purchase seems way higher than the market rate.,Billing Issue|Inquiry,FX Rate Dispute,Low,exchange rate|international purchase,Billing Department,Explain FX policy and verify rate applied,"Per our Foreign Transaction & FX Policy, international purchases are converted at the interbank rate plus a 2.5% foreign transaction fee, which is standard across all consumer cards. We'll confirm the exact rate applied to your purchase.",kb-002,financial_dispute,False,True,,Needs FX rate/markup policy
9,I paid my credit card bill in full but I'm still being charged interest.,Billing Issue|Complaint,Unexpected Interest Charge,Medium,interest charge|paid in full,Billing Department,Review payment timing against statement cycle,"Per our Interest & Credit Policy, interest accrues from the transaction date if your payment posts even one day after the statement due date, regardless of amount. We'll check your payment timestamp against the statement cutoff.",kb-003,financial_dispute,False,True,,Needs interest/grace period policy
10,My paycheck deposit is missing $200 compared to what my employer said they sent.,Billing Issue|Complaint,Missing Deposit Funds,High,$200 missing|payroll deposit,Support Team,Trace deposit transaction and contact originating bank,We'll trace deposit transaction and contact originating bank. You'll receive an update shortly.,,financial_dispute,False,False,,
